AL, 03, 2023061700, 03, AC00, 114, 131N,  508W,  49,  998, XX,  34, NEQ,   90,   55,    0,   88, 
AL, 03, 2023061700, 03, AC00, 120, 135N,  515W,  60,  994, XX,  34, NEQ,  149,   61,    0,   70, 
AL, 03, 2023061700, 03, AC00, 120, 135N,  515W,  60,  994, XX,  50, NEQ,   50,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00, 126, 139N,  524W,  52,  992, XX,  34, NEQ,   77,   47,   35,   66, 
AL, 03, 2023061700, 03, AC00, 126, 139N,  524W,  52,  992, XX,  50, NEQ,    0,    0,    0,   36, 
AL, 03, 2023061700, 03, AC00, 132, 145N,  533W,  50,  998, XX,  34, NEQ,   95,   55,    0,   65, 
AL, 03, 2023061700, 03, AC00, 132, 145N,  533W,  50,  998, XX,  50, NEQ,   38,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00, 138, 150N,  543W,  52,  995, XX,  34, NEQ,   83,   38,    0,   64, 
AL, 03, 2023061700, 03, AC00, 138, 150N,  543W,  52,  995, XX,  50, NEQ,   40,    0,    0,   34, 
AL, 03, 2023061700, 03, AC00, 144, 152N,  552W,  61,  996, XX,  34, NEQ,   92,   41,   35,   83, 
AL, 03, 2023061700, 03, AC00, 144, 152N,  552W,  61,  996, XX,  50, NEQ,   30,    0,    0,   37, 
AL, 03, 2023061700, 03, AC00, 150, 155N,  561W,  60,  992, XX,  34, NEQ,   92,   32,    0,   72, 
AL, 03, 2023061700, 03, AC00, 150, 155N,  561W,  60,  992, XX,  50, NEQ,   34,    0,    0,    0, 
AL, 03, 2023061700, 03, AC00, 156, 158N,  569W,  45,  998, XX,  34, NEQ,   76,   64,    0,   70, 
AL, 03, 2023061700, 03, AC00, 162, 163N,  575W,  46,  997, XX,  34, NEQ,   68,   46,    0,   52, 
AL, 03, 2023061700, 03, AC00, 168, 171N,  577W,  45,  997, XX,  34, NEQ,   84,   61,   42,   50, 
AL, 03, 2023061700, 03, AC00, 174, 182N,  579W,  50,  998, XX,  34, NEQ,   65,   64,    0,   49, 
AL, 03, 2023061700, 03, AC00, 174, 182N,  579W,  50,  998, XX,  50, NEQ,    0,   26,    0,    0, 
AL, 03, 2023061700, 03, AC00, 180, 196N,  580W,  57,  991, XX,  34, NEQ,   64,   89,   32,   44, 
AL, 03, 2023061700, 03, AC00, 180, 196N,  580W,  57,  991, XX,  50, NEQ,    0,   31,    0,    0, 
AL, 03, 2023061700, 03, AC00, 186, 211N,  581W,  57,  991, XX,  34, NEQ,   96,   93,   33,   40, 
AL, 03, 2023061700, 03, AC00, 186, 211N,  581W,  57,  991, XX,  50, NEQ,   42,   38,    0,    0, 
AL, 03, 2023061700, 03, AC00, 192, 226N,  581W,  52,  992, XX,  34, NEQ,   96,   92,   40,   57, 
AL, 03, 2023061700, 03, AC00, 192, 226N,  581W,  52,  992, XX,  50, NEQ,   31,   37,    0,    0, 
AL, 03, 2023061700, 03, AEMN,   0,  99N,  255W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,   6,  99N,  263W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  12,  98N,  273W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  18,  99N,  286W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  24, 100N,  298W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  30, 102N,  312W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  36, 105N,  330W,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  42, 107N,  348W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  48, 106N,  364W,  35, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  54, 107N,  382W,  35, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  60, 108N,  399W,  36, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  66, 109N,  415W,  37, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  72, 110N,  430W,  39, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  78, 113N,  444W,  41, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  84, 117N,  459W,  44, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  90, 122N,  472W,  46,  999, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN,  96, 126N,  484W,  47,  999, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 102, 130N,  497W,  47,  997, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 108, 134N,  510W,  48,  998, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 114, 139N,  522W,  47,  996, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 120, 143N,  532W,  48,  996, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 126, 147N,  545W,  49,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 132, 152N,  557W,  48,  996, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 138, 160N,  565W,  49,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 144, 164N,  575W,  50,  995, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 150, 171N,  583W,  50,  993, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 156, 178N,  587W,  53,  993, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 162, 188N,  583W,  56,  991, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 168, 194N,  591W,  51,  993, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 174, 201N,  599W,  51,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 180, 210N,  611W,  52,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 186, 219N,  617W,  50,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AEMN, 192, 231N,  610W,  49,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP01,   0,  99N,  255W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP01,   6,  96N,  260W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,   0,  96N,  252W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,   6,  99N,  254W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  12,  99N,  254W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  18, 101N,  265W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  24,  98N,  278W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  30,  91N,  305W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  36,  89N,  314W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  42,  89N,  319W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  48,  88N,  330W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03, AP02,  54,  86N,  340W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
