AL, 20, 2023101118, RI, EIOL,  72,  93N,  196W,  52,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, RIOB,  12,  93N,  196W,   0,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, RIOB,  24,  93N,  196W,   8,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOB,  24,  93N,  196W,   2,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOB,  24,  93N,  196W,   0,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOB,  24,  93N,  196W,   0,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOB,  36,  93N,  196W,   0,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, RIOB,  48,  93N,  196W,   1,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, RIOB,  72,  93N,  196W,   7,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, RIOC,  12,  93N,  196W,   3,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, RIOC,  24,  93N,  196W,  16,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOC,  24,  93N,  196W,   9,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOC,  24,  93N,  196W,   6,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOC,  24,  93N,  196W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOC,  36,  93N,  196W,   8,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, RIOC,  48,  93N,  196W,  10,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, RIOC,  72,  93N,  196W,  22,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, RIOD,  12,  93N,  196W,   5,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, RIOD,  24,  93N,  196W,  18,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOD,  24,  93N,  196W,  12,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOD,  24,  93N,  196W,  10,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOD,  24,  93N,  196W,   7,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOD,  36,  93N,  196W,  11,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, RIOD,  48,  93N,  196W,  13,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, RIOD,  72,  93N,  196W,  17,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, RI, RIOL,  12,  93N,  196W,   5,  20,  50,    ,            0,           12, 
AL, 20, 2023101118, RI, RIOL,  24,  93N,  196W,  23,  25,  55,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOL,  24,  93N,  196W,  13,  30,  60,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOL,  24,  93N,  196W,   7,  35,  65,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOL,  24,  93N,  196W,   4,  40,  70,    ,            0,           24, 
AL, 20, 2023101118, RI, RIOL,  36,  93N,  196W,  13,  45,  75,    ,            0,           36, 
AL, 20, 2023101118, RI, RIOL,  48,  93N,  196W,  17,  55,  85,    ,            0,           48, 
AL, 20, 2023101118, RI, RIOL,  72,  93N,  196W,  41,  65,  95,    ,            0,           72, 
AL, 20, 2023101118, TR, GPCC,  12,  96N,  215W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  24,  94N,  236W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  36,  92N,  254W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  48,  93N,  272W,  68,   69,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  60,  93N,  288W,  68,   87,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  72,  90N,  304W,  68,  107,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC,  96,  90N,  338W,  68,  155,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, GPCC, 120, 100N,  404W,  68,  204,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  12,  96N,  215W,  68,   41,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  24,  94N,  236W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  36,  92N,  254W,  68,   80,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  48,  93N,  272W,  68,   95,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  60,  93N,  288W,  68,  116,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  72,  90N,  304W,  68,  116,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN,  96,  90N,  338W,  68,  156,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCN, 120, 100N,  404W,  68,  263,   ,   0,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCX,   0,  93N,  197W,  70,    0,   ,  75,    ,    0,    0,    0,    0, 
AL, 20, 2023101118, TR, TVCX,  12,  96N,  215W,  70,   44,   ,  69,    ,   41,   49,    2,    0, 
AL, 20, 2023101118, TR, TVCX,  24,  95N,  236W,  70,   69,   ,  96,    ,   64,   74,    5,   -1, 
AL, 20, 2023101118, TR, TVCX,  36,  94N,  255W,  70,   85,   , 108,    ,  100,   74,    8,   -5, 
AL, 20, 2023101118, TR, TVCX,  48,  97N,  272W,  70,  112,   ,  89,    ,  122,  104,   13,  -10, 
AL, 20, 2023101118, TR, TVCX,  72,  96N,  306W,  70,  147,   , 110,    ,  182,  119,   20,  -19, 
AL, 20, 2023101118, TR, TVCX,  96,  98N,  338W,  70,  208,   ,  94,    ,  220,  197,   18,  -32, 
AL, 20, 2023101118, TR, TVCX, 120, 111N,  402W,  70,  280,   ,  78,    ,  174,  454,    0,  -65, 
AL, 20, 2023101118, WR, RVCN,   0,  93N,  197W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  12,  98N,  215W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  24,  98N,  238W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  36,  97N,  259W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  48,  97N,  276W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  60,  95N,  289W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  72,  90N,  304W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  84,  86N,  320W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN,  96,  85N,  342W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN, 108,  89N,  357W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN, 120, 105N,  417W,  68,   0, 34,    5, 
AL, 20, 2023101118, WR, RVCN, 132, 113N,  447W,  68,   0, 34,    5, 
AL, 20, 2023101200, IN, ICON,  12,     ,      ,  68,  26,   ,    4, 
AL, 20, 2023101200, IN, ICON,  24,     ,      ,  68,  27,   ,    6, 
AL, 20, 2023101200, IN, ICON,  36,     ,      ,  68,  27,   ,    7, 
AL, 20, 2023101200, IN, ICON,  48,     ,      ,  68,  28,   ,    9, 
AL, 20, 2023101200, IN, ICON,  60,     ,      ,  68,  31,   ,   11, 
AL, 20, 2023101200, IN, ICON,  72,     ,      ,  68,  35,   ,   15, 
AL, 20, 2023101200, IN, ICON,  96,     ,      ,  68,  44,   ,   18, 
AL, 20, 2023101200, IN, ICON, 120,     ,      ,  68,  52,   ,   20, 
AL, 20, 2023101200, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 20, 2023101200, IN, IVCN,  24,     ,      ,  68,  29,   ,    6, 
AL, 20, 2023101200, IN, IVCN,  36,     ,      ,  68,  28,   ,    7, 
AL, 20, 2023101200, IN, IVCN,  48,     ,      ,  68,  27,   ,    9, 
AL, 20, 2023101200, IN, IVCN,  60,     ,      ,  68,  28,   ,   11, 
AL, 20, 2023101200, IN, IVCN,  72,     ,      ,  68,  31,   ,   14, 
AL, 20, 2023101200, IN, IVCN,  96,     ,      ,  68,  37,   ,   17, 
AL, 20, 2023101200, IN, IVCN, 120,     ,      ,  68,  43,   ,   21, 
AL, 20, 2023101200, RI, DTOP,  12,     ,      ,   0,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, DTOP,  24,     ,      ,   1,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, DTOP,  24,     ,      ,   0,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, DTOP,  24,     ,      ,   0,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, DTOP,  24,     ,      ,   0,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, DTOP,  36,     ,      ,   0,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, DTOP,  48,     ,      ,   0,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, DTOP,  72,     ,      ,   0,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, EIOB,  12,  99N,  210W,   0,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, EIOB,  24,  99N,  210W,   1,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOB,  24,  99N,  210W,   0,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOB,  24,  99N,  210W,   0,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOB,  24,  99N,  210W,   0,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOB,  36,  99N,  210W,   0,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, EIOB,  48,  99N,  210W,   0,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, EIOB,  72,  99N,  210W,   1,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, EIOC,  12,  99N,  210W,   2,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, EIOC,  24,  99N,  210W,   9,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOC,  24,  99N,  210W,   5,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOC,  24,  99N,  210W,   3,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOC,  24,  99N,  210W,   1,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOC,  36,  99N,  210W,   2,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, EIOC,  48,  99N,  210W,   6,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, EIOC,  72,  99N,  210W,  11,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, EIOD,  12,  99N,  210W,   3,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, EIOD,  24,  99N,  210W,  14,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOD,  24,  99N,  210W,   9,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOD,  24,  99N,  210W,   6,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOD,  24,  99N,  210W,   0,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOD,  36,  99N,  210W,   0,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, EIOD,  48,  99N,  210W,  10,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, EIOD,  72,  99N,  210W,   0,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, EIOL,  12,  99N,  210W,   2,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, EIOL,  24,  99N,  210W,  12,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOL,  24,  99N,  210W,   7,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOL,  24,  99N,  210W,   3,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOL,  24,  99N,  210W,   2,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, EIOL,  36,  99N,  210W,   5,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, EIOL,  48,  99N,  210W,   6,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, EIOL,  72,  99N,  210W,  32,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, RIOB,  12,  99N,  210W,   0,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, RIOB,  24,  99N,  210W,   1,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOB,  24,  99N,  210W,   0,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOB,  24,  99N,  210W,   0,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOB,  24,  99N,  210W,   0,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOB,  36,  99N,  210W,   0,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, RIOB,  48,  99N,  210W,   0,  55,  80,    ,            0,           48, 
AL, 20, 2023101200, RI, RIOB,  72,  99N,  210W,   1,  65,  90,    ,            0,           72, 
AL, 20, 2023101200, RI, RIOC,  12,  99N,  210W,   2,  20,  45,    ,            0,           12, 
AL, 20, 2023101200, RI, RIOC,  24,  99N,  210W,   9,  25,  50,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOC,  24,  99N,  210W,   6,  30,  55,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOC,  24,  99N,  210W,   3,  35,  60,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOC,  24,  99N,  210W,   1,  40,  65,    ,            0,           24, 
AL, 20, 2023101200, RI, RIOC,  36,  99N,  210W,   2,  45,  70,    ,            0,           36, 
AL, 20, 2023101200, RI, RIOC,  48,  99N,  210W,   6,  55,  80,    ,            0,           48, 
